Delivery_ID,Order_ID,Warehouse,Shipment_Type,Promised_Days,Actual_Delivery_Days,Shipping_Cost_INR,Delivery_Status,Ship_Date
D002493,O002493,Bengaluru,Standard,5,5,38.54,On Time,19-12-24
D002494,O002494,Mumbai,Standard,5,1,74,On Time,01-08-25
D002495,O002495,Mumbai,Express,5,3,271.13,On Time,07-09-25
D002496,O002496,Mumbai,Standard,5,1,93.99,On Time,20-09-25
D002497,O002497,Kolkata,Standard,5,4,100.32,On Time,20-09-24
D002498,O002498,Bengaluru,Standard,5,1,186.03,On Time,20-10-24
D002499,O002499,Mumbai,Standard,7,4,115.56,On Time,23-10-24
D002500,O002500,Delhi NCR,Standard,5,3,133.89,On Time,23-09-24
D002501,O002501,Kolkata,Standard,5,1,259.73,On Time,24-02-25
D002502,O002502,Mumbai,Standard,5,6,252.42,Late,21-08-24
D002503,O002503,Bengaluru,Express,7,3,86.23,On Time,30-04-25
D002504,O002504,Mumbai,Standard,3,2,225.27,On Time,30-04-24
D002505,O002505,Hyderabad,Standard,5,10,273.12,Late,05-08-24
D002506,O002506,Hyderabad,Standard,7,8,192.3,Late,12-08-24
D002507,O002507,Bengaluru,Standard,7,3,157.05,On Time,23-11-24
D002508,O002508,Bengaluru,Express,5,1,113.88,On Time,14-01-25
D002509,O002509,Bengaluru,Standard,3,1,186.96,On Time,03-02-25
D002510,O002510,Bengaluru,Express,5,9,101.39,Late,02-12-25
D002511,O002511,Hyderabad,Standard,3,5,211.33,Late,20-01-25
D002512,O002512,Hyderabad,Standard,5,4,122.53,On Time,14-04-24
D002513,O002513,Kolkata,Standard,5,4,151.88,On Time,01-02-25
D002514,O002514,Mumbai,Standard,3,6,200.88,Late,09-07-25
D002515,O002515,Delhi NCR,Standard,5,1,226.06,On Time,14-05-25
D002516,O002516,Hyderabad,Standard,5,3,60.83,On Time,20-12-24
D002517,O002517,Bengaluru,Standard,5,2,120.75,On Time,15-07-24
D002518,O002518,Bengaluru,Standard,5,6,56.48,Late,14-01-25
D002519,O002519,Kolkata,Standard,7,5,110.06,On Time,15-04-25
D002520,O002520,Bengaluru,Standard,5,4,69.89,On Time,14-07-24
D002521,O002521,Delhi NCR,Standard,5,5,49.5,On Time,10-11-25
D002522,O002522,Delhi NCR,Standard,7,3,239.54,On Time,03-06-25
D002523,O002523,Mumbai,Standard,3,9,211.78,Late,21-07-24
D002524,O002524,Hyderabad,Standard,5,4,117.53,On Time,08-05-25
D002525,O002525,Bengaluru,Express,5,3,135.89,On Time,19-01-24
D002526,O002526,Kolkata,Standard,3,5,162.48,Late,06-09-24
D002527,O002527,Kolkata,Standard,3,6,173.78,Late,08-06-24
D002528,O002528,Delhi NCR,Standard,5,1,61.61,On Time,23-12-24
D002529,O002529,Delhi NCR,Standard,5,6,264.25,Late,22-11-25
D002530,O002530,Hyderabad,Standard,5,6,227.44,Late,10-08-24
D002531,O002531,Hyderabad,Standard,5,4,174.08,On Time,13-02-24
D002532,O002532,Kolkata,Standard,7,3,183.54,On Time,08-03-24
D002533,O002533,Kolkata,Standard,5,7,76.54,Late,11-01-24
D002534,O002534,Mumbai,Express,7,1,120.12,On Time,22-01-24
D002535,O002535,Hyderabad,Standard,7,9,52.82,Late,30-07-24
D002536,O002536,Mumbai,Standard,5,4,80.97,On Time,18-02-24
D002537,O002537,Bengaluru,Standard,5,4,252.77,On Time,13-03-24
D002538,O002538,Mumbai,Standard,5,8,194.32,Late,12-10-25
D002539,O002539,Kolkata,Standard,5,6,39.19,Late,13-06-24
D002540,O002540,Bengaluru,Standard,5,6,54.45,Late,06-09-24
D002541,O002541,Bengaluru,Express,7,4,265.78,On Time,04-02-25
D002542,O002542,Mumbai,Standard,5,2,241.9,On Time,02-07-25
D002543,O002543,Delhi NCR,Standard,3,8,255.08,Late,16-10-25
D002544,O002544,Delhi NCR,Standard,5,1,37.22,On Time,20-01-25
D002545,O002545,Mumbai,Express,5,6,135.45,Late,14-06-25
D002546,O002546,Bengaluru,Standard,5,5,230.5,On Time,26-11-25
D002547,O002547,Hyderabad,Standard,5,8,103.14,Late,24-10-24
D002548,O002548,Hyderabad,Standard,5,6,266.14,Late,23-12-25
D002549,O002549,Delhi NCR,Standard,5,3,224.85,On Time,07-08-25
D002550,O002550,Delhi NCR,Standard,5,3,70.24,On Time,05-04-24
D002551,O002551,Mumbai,Standard,7,5,180.14,On Time,20-05-25
D002552,O002552,Hyderabad,Standard,5,7,239.6,Late,02-08-25
D002553,O002553,Mumbai,Standard,5,4,239.04,On Time,27-12-25
D002554,O002554,Delhi NCR,Standard,5,6,56.75,Late,25-05-25
D002555,O002555,Mumbai,Express,7,3,192.1,On Time,02-12-24
D002556,O002556,Delhi NCR,Standard,5,7,185.29,Late,04-06-24
D002557,O002557,Delhi NCR,Standard,5,4,277.94,On Time,28-12-25
D002558,O002558,Hyderabad,Standard,5,5,273.46,On Time,29-08-25
D002559,O002559,Hyderabad,Standard,5,5,268.57,On Time,14-06-24
D002560,O002560,Mumbai,Standard,5,3,39.45,On Time,13-03-24
D002561,O002561,Bengaluru,Standard,5,6,161.66,Late,27-09-25
D002562,O002562,Delhi NCR,Standard,5,1,209.4,On Time,05-11-24
D002563,O002563,Kolkata,Express,7,5,184.18,On Time,03-09-25
D002564,O002564,Mumbai,Standard,5,3,242.2,On Time,13-04-25
D002565,O002565,Mumbai,Standard,5,1,130.24,On Time,30-03-24
D002566,O002566,Delhi NCR,Standard,7,6,223.9,On Time,08-05-25
D002567,O002567,Delhi NCR,Standard,5,4,117.27,On Time,23-03-24
D002568,O002568,Hyderabad,Standard,5,3,107.12,On Time,30-11-25
D002569,O002569,Delhi NCR,Standard,5,6,235.7,Late,22-07-25
D002570,O002570,Bengaluru,Standard,5,3,229.44,On Time,17-08-24
D002571,O002571,Mumbai,Express,5,4,261.52,On Time,04-12-25
D002572,O002572,Mumbai,Standard,3,11,83.98,Late,25-01-25
D002573,O002573,Mumbai,Standard,7,8,199.62,Late,14-04-24
D002574,O002574,Hyderabad,Express,7,6,153.77,On Time,14-11-25
D002575,O002575,Bengaluru,Express,5,1,105.67,On Time,09-03-24
D002576,O002576,Bengaluru,Standard,5,3,241.62,On Time,28-12-24
D002577,O002577,Kolkata,Standard,7,7,84.71,On Time,04-07-24
D002578,O002578,Mumbai,Standard,3,4,45.33,Late,15-05-24
D002579,O002579,Delhi NCR,Standard,5,4,58.24,On Time,30-04-25
D002580,O002580,Mumbai,Express,5,7,121.62,Late,22-08-24
D002581,O002581,Mumbai,Standard,5,7,42.32,Late,20-08-25
D002582,O002582,Kolkata,Standard,3,1,147.19,On Time,11-12-24
D002583,O002583,Bengaluru,Standard,5,7,207.81,Late,25-01-24
D002584,O002584,Hyderabad,Standard,7,2,211.69,On Time,19-03-25
D002585,O002585,Delhi NCR,Standard,5,2,103.41,On Time,06-08-24
D002586,O002586,Delhi NCR,Standard,7,2,185.02,On Time,22-03-25
D002587,O002587,Mumbai,Express,5,2,36.14,On Time,06-01-24
D002588,O002588,Delhi NCR,Standard,7,3,179.03,On Time,29-03-25
D002589,O002589,Delhi NCR,Standard,7,4,243.47,On Time,01-07-24
D002590,O002590,Mumbai,Standard,5,7,121.13,Late,11-06-24
D002591,O002591,Mumbai,Standard,5,5,74.95,On Time,27-12-25
D002592,O002592,Kolkata,Standard,7,4,139.4,On Time,25-06-24
D002593,O002593,Kolkata,Standard,3,5,161.36,Late,12-12-24
D002594,O002594,Mumbai,Standard,5,3,76.83,On Time,28-07-25
D002595,O002595,Bengaluru,Express,5,2,156.37,On Time,09-10-25
D002596,O002596,Hyderabad,Standard,3,6,200.47,Late,26-04-25
D002597,O002597,Kolkata,Standard,3,5,158.03,Late,12-07-25
D002598,O002598,Bengaluru,Standard,5,3,220.5,On Time,28-03-24
D002599,O002599,Bengaluru,Standard,3,8,189.92,Late,19-08-24
D002600,O002600,Mumbai,Standard,3,3,194.75,On Time,11-05-25
D002601,O002601,Kolkata,Standard,7,6,130.69,On Time,01-10-24
D002602,O002602,Mumbai,Standard,3,7,211.83,Late,03-04-25
D002603,O002603,Kolkata,Standard,5,1,101.42,On Time,21-08-25
D002604,O002604,Delhi NCR,Standard,3,8,121.02,Late,25-02-25
D002605,O002605,Bengaluru,Standard,5,4,273.31,On Time,06-02-24
D002606,O002606,Delhi NCR,Express,5,4,226.85,On Time,06-11-24
D002607,O002607,Mumbai,Standard,5,3,75.42,On Time,07-11-25
D002608,O002608,Kolkata,Express,7,12,77.67,Late,11-03-24
D002609,O002609,Delhi NCR,Standard,5,9,88.62,Late,05-04-24
D002610,O002610,Bengaluru,Standard,7,2,214.58,On Time,26-10-24
D002611,O002611,Hyderabad,Express,7,3,230.14,On Time,31-10-25
D002612,O002612,Mumbai,Standard,3,5,115.63,Late,19-04-25
D002613,O002613,Hyderabad,Express,5,7,266.46,Late,19-02-24
D002614,O002614,Delhi NCR,Standard,5,3,63.58,On Time,21-01-25
D002615,O002615,Mumbai,Standard,5,1,199,On Time,12-07-24
D002616,O002616,Bengaluru,Standard,5,7,167.54,Late,14-03-25
D002617,O002617,Bengaluru,Standard,3,2,176.82,On Time,27-02-25
D002618,O002618,Mumbai,Standard,5,3,119.03,On Time,08-11-24
D002619,O002619,Hyderabad,Standard,5,7,204.66,Late,14-05-25
D002620,O002620,Mumbai,Standard,5,5,227.23,On Time,09-07-24
D002621,O002621,Bengaluru,Standard,3,1,90.65,On Time,19-03-25
D002622,O002622,Mumbai,Standard,7,6,69.81,On Time,26-09-24
D002623,O002623,Mumbai,Standard,3,7,182.2,Late,05-02-25
D002624,O002624,Kolkata,Express,5,4,51.64,On Time,10-10-24
D002625,O002625,Mumbai,Standard,7,4,79.57,On Time,16-04-24
D002626,O002626,Delhi NCR,Standard,5,1,200.6,On Time,23-06-25
D002627,O002627,Bengaluru,Standard,7,2,97.39,On Time,26-10-25
D002628,O002628,Hyderabad,Standard,5,4,271.94,On Time,21-02-24
D002629,O002629,Hyderabad,Standard,5,1,44.21,On Time,20-07-25
D002630,O002630,Bengaluru,Standard,5,4,99.68,On Time,23-04-24
D002631,O002631,Mumbai,Express,7,4,160.92,On Time,29-11-24
D002632,O002632,Mumbai,Standard,7,1,270.75,On Time,17-09-24
D002633,O002633,Delhi NCR,Standard,7,5,273.18,On Time,28-02-25
D002634,O002634,Unknown,Standard,7,5,274.73,On Time,14-08-25
D002635,O002635,Mumbai,Standard,5,8,91.87,Late,01-10-25
D002636,O002636,Bengaluru,Express,3,6,75.8,Late,23-08-25
D002637,O002637,Kolkata,Standard,5,2,203.08,On Time,16-04-24
D002638,O002638,Bengaluru,Standard,5,2,42.18,On Time,23-04-25
D002639,O002639,Mumbai,Express,3,5,64.36,Late,09-09-25
D002640,O002640,Hyderabad,Standard,7,1,150.29,On Time,12-03-25
D002641,O002641,Mumbai,Standard,5,1,254.27,On Time,09-07-24
D002642,O002642,Mumbai,Express,5,8,256.96,Late,12-05-25
D002643,O002643,Delhi NCR,Standard,5,3,55.03,On Time,16-03-25
D002644,O002644,Delhi NCR,Standard,5,2,132.41,On Time,25-05-24
D002645,O002645,Mumbai,Standard,5,1,112,On Time,12-07-24
D002646,O002646,Hyderabad,Express,3,3,153.64,On Time,16-12-25
D002647,O002647,Delhi NCR,Standard,7,6,139.11,On Time,03-03-24
D002648,O002648,Kolkata,Standard,5,3,247.14,On Time,16-12-24
D002649,O002649,Delhi NCR,Standard,5,8,224.54,Late,23-07-25
D002650,O002650,Bengaluru,Standard,5,4,156.8,On Time,26-01-25
D002651,O002651,Delhi NCR,Express,5,2,76.14,On Time,02-08-25
D002652,O002652,Delhi NCR,Express,5,6,195.93,Late,11-07-24
D002653,O002653,Bengaluru,Standard,5,1,271.47,On Time,11-01-24
D002654,O002654,Bengaluru,Standard,3,3,177.49,On Time,16-10-24
D002655,O002655,Hyderabad,Standard,7,5,166.7,On Time,04-12-24
D002656,O002656,Mumbai,Standard,3,8,38.4,Late,26-11-25
D002657,O002657,Delhi NCR,Standard,5,9,113.59,Late,30-04-24
D002658,O002658,Hyderabad,Standard,5,4,169.62,On Time,27-09-24
D002659,O002659,Hyderabad,Standard,3,3,175.2,On Time,20-12-25
D002660,O002660,Mumbai,Standard,5,4,134.34,On Time,08-01-24
D002661,O002661,Hyderabad,Standard,5,5,53.46,On Time,20-01-24
D002662,O002662,Delhi NCR,Standard,5,2,162.79,On Time,17-12-25
D002663,O002663,Mumbai,Express,7,5,97.2,On Time,23-03-25
D002664,O002664,Hyderabad,Standard,5,2,248.73,On Time,16-07-24
D002665,O002665,Bengaluru,Standard,3,5,176.11,Late,07-05-24
D002666,O002666,Mumbai,Express,5,6,243.7,Late,10-03-24
D002667,O002667,Mumbai,Standard,5,5,253.43,On Time,17-11-24
D002668,O002668,Delhi NCR,Standard,5,5,253.7,On Time,13-05-24
D002669,O002669,Kolkata,Standard,5,5,264.92,On Time,29-07-24
D002670,O002670,Hyderabad,Standard,7,7,275.25,On Time,18-10-24
D002671,O002671,Hyderabad,Standard,5,6,246.7,Late,24-03-25
D002672,O002672,Hyderabad,Standard,5,5,250.07,On Time,24-04-25
D002673,O002673,Kolkata,Standard,3,3,218.52,On Time,12-10-25
D002674,O002674,Mumbai,Standard,5,4,180.55,On Time,31-01-25
D002675,O002675,Mumbai,Standard,5,8,175.54,Late,25-07-25
D002676,O002676,Mumbai,Standard,5,9,207.07,Late,14-03-24
D002677,O002677,Mumbai,Express,5,2,213.47,On Time,08-05-25
D002678,O002678,Bengaluru,Standard,3,3,38.74,On Time,19-12-25
D002679,O002679,Delhi NCR,Standard,5,6,248.34,Late,30-05-25
D002680,O002680,Delhi NCR,Standard,5,5,215.51,On Time,26-10-25
D002681,O002681,Hyderabad,Standard,5,7,114.97,Late,12-11-24
D002682,O002682,Delhi NCR,Express,5,6,258.26,Late,27-12-25
D002683,O002683,Hyderabad,Standard,5,5,212.64,On Time,19-07-25
D002684,O002684,Mumbai,Standard,5,6,167.38,Late,17-05-25
D002685,O002685,Mumbai,Standard,7,8,163.05,Late,26-06-24
D002686,O002686,Hyderabad,Standard,5,2,139.09,On Time,08-11-25
D002687,O002687,Mumbai,Standard,5,7,91.7,Late,20-08-24
D002688,O002688,Kolkata,Standard,5,1,228.79,On Time,29-09-25
D002689,O002689,Mumbai,Standard,5,7,99.95,Late,24-03-24
D002690,O002690,Hyderabad,Standard,5,4,72.17,On Time,11-09-24
D002691,O002691,Delhi NCR,Express,5,4,139.93,On Time,17-11-24
D002692,O002692,Hyderabad,Standard,5,3,86.56,On Time,04-10-24
D002693,O002693,Hyderabad,Express,5,9,158.06,Late,25-08-24
D002694,O002694,Hyderabad,Standard,7,4,234.96,On Time,15-07-25
D002695,O002695,Mumbai,Standard,3,6,230.97,Late,17-12-25
D002696,O002696,Delhi NCR,Standard,5,2,239.52,On Time,22-10-24
D002697,O002697,Bengaluru,Standard,7,3,221.75,On Time,01-02-24
D002698,O002698,Unknown,Standard,3,4,243.48,Late,14-03-24
D002699,O002699,Delhi NCR,Standard,5,3,62.01,On Time,15-03-25
D002700,O002700,Delhi NCR,Standard,5,4,81.43,On Time,30-10-24
D002701,O002701,Kolkata,Standard,5,7,53.11,Late,08-04-24
D002702,O002702,Hyderabad,Standard,5,9,183.39,Late,30-01-25
D002703,O002703,Kolkata,Standard,7,3,65.03,On Time,08-11-24
D002704,O002704,Hyderabad,Standard,7,2,248.7,On Time,05-01-24
D002705,O002705,Delhi NCR,Standard,5,4,75.93,On Time,15-02-24
D002706,O002706,Bengaluru,Standard,3,3,228.66,On Time,16-08-25
D002707,O002707,Bengaluru,Standard,5,1,220.52,On Time,03-12-24
D002708,O002708,Mumbai,Standard,7,6,56.08,On Time,21-04-25
D002709,O002709,Bengaluru,Standard,5,3,158.36,On Time,08-10-24
D002710,O002710,Mumbai,Express,5,1,108.73,On Time,11-02-24
D002711,O002711,Mumbai,Standard,5,2,118.71,On Time,05-02-25
D002712,O002712,Mumbai,Standard,5,7,195.7,Late,29-01-25
D002713,O002713,Bengaluru,Standard,5,5,211.74,On Time,11-02-25
D002714,O002714,Bengaluru,Standard,7,4,157.21,On Time,04-03-25
D002715,O002715,Delhi NCR,Standard,3,7,170.81,Late,15-03-24
D002716,O002716,Hyderabad,Standard,5,4,118.2,On Time,22-06-25
D002717,O002717,Hyderabad,Standard,5,7,266.05,Late,23-11-24
D002718,O002718,Bengaluru,Standard,7,3,75.76,On Time,22-04-25
D002719,O002719,Mumbai,Express,5,5,70.71,On Time,23-06-25
D002720,O002720,Mumbai,Standard,5,4,45.68,On Time,30-12-24
D002721,O002721,Delhi NCR,Standard,5,5,253.6,On Time,14-08-25
D002722,O002722,Kolkata,Express,5,4,263.91,On Time,25-01-25
D002723,O002723,Delhi NCR,Standard,5,6,219.68,Late,11-10-25
D002724,O002724,Delhi NCR,Standard,7,2,51.22,On Time,04-11-25
D002725,O002725,Delhi NCR,Standard,5,3,255.05,On Time,23-03-24
D002726,O002726,Mumbai,Standard,7,3,269.44,On Time,15-03-25
D002727,O002727,Kolkata,Standard,7,7,72.15,On Time,19-01-25
D002728,O002728,Delhi NCR,Express,5,6,257.31,Late,19-10-25
D002729,O002729,Delhi NCR,Standard,5,7,157.21,Late,20-08-25
D002730,O002730,Delhi NCR,Express,3,5,272.8,Late,06-01-25
D002731,O002731,Delhi NCR,Standard,3,3,195.02,On Time,28-08-25
D002732,O002732,Bengaluru,Express,3,1,120.56,On Time,17-08-24
D002733,O002733,Hyderabad,Standard,5,6,188.87,Late,17-02-24
D002734,O002734,Hyderabad,Standard,7,8,179.35,Late,05-02-24
D002735,O002735,Delhi NCR,Standard,5,1,235.24,On Time,05-04-25
D002736,O002736,Kolkata,Standard,3,4,112.43,Late,25-01-25
D002737,O002737,Kolkata,Standard,5,5,36,On Time,15-09-24
D002738,O002738,Delhi NCR,Standard,5,7,259.92,Late,05-01-25
D002739,O002739,Delhi NCR,Standard,5,5,91.2,On Time,07-03-25
D002740,O002740,Mumbai,Standard,3,5,46.91,Late,11-11-25
D002741,O002741,Mumbai,Standard,5,3,78.26,On Time,12-09-24
D002742,O002742,Bengaluru,Standard,5,6,147.5,Late,14-11-24
D002743,O002743,Kolkata,Standard,3,2,40.54,On Time,03-03-24
D002744,O002744,Bengaluru,Standard,5,5,124.47,On Time,11-11-24
D002745,O002745,Mumbai,Standard,3,6,129.03,Late,06-04-25
D002746,O002746,Kolkata,Standard,5,1,163.57,On Time,29-05-24
D002747,O002747,Kolkata,Standard,5,2,227.81,On Time,17-04-25
D002748,O002748,Delhi NCR,Standard,3,2,259.02,On Time,26-06-25
D002749,O002749,Kolkata,Standard,5,2,222.01,On Time,20-09-24
D002750,O002750,Hyderabad,Standard,7,2,55.84,On Time,15-12-24
D002751,O002751,Kolkata,Express,5,7,253.45,Late,10-10-25
D002752,O002752,Mumbai,Standard,5,5,47.97,On Time,20-09-24
D002753,O002753,Mumbai,Standard,5,4,84.71,On Time,13-07-25
D002754,O002754,Delhi NCR,Standard,7,6,182.03,On Time,17-07-25
D002755,O002755,Delhi NCR,Standard,5,8,60.34,Late,29-09-25
D002756,O002756,Mumbai,Standard,3,7,205.92,Late,10-01-24
D002757,O002757,Hyderabad,Standard,5,4,258.81,On Time,30-09-25
D002758,O002758,Bengaluru,Standard,5,7,66.95,Late,01-01-26
D002759,O002759,Delhi NCR,Standard,7,7,164.92,On Time,09-04-25
D002760,O002760,Delhi NCR,Standard,5,7,270.07,Late,17-08-25
D002761,O002761,Delhi NCR,Standard,7,4,36.65,On Time,24-11-24
D002762,O002762,Mumbai,Express,5,6,252.47,Late,28-05-25
D002763,O002763,Kolkata,Standard,5,2,162.01,On Time,25-06-24
D002764,O002764,Mumbai,Standard,5,3,133.61,On Time,28-09-24
D002765,O002765,Hyderabad,Standard,5,5,46.3,On Time,11-01-25
D002766,O002766,Delhi NCR,Standard,5,4,173.69,On Time,14-07-24
D002767,O002767,Bengaluru,Standard,5,5,44.07,On Time,12-11-25
D002768,O002768,Bengaluru,Standard,5,5,118.61,On Time,27-03-25
D002769,O002769,Delhi NCR,Standard,5,2,175.11,On Time,01-01-25
D002770,O002770,Mumbai,Standard,5,4,139.5,On Time,05-04-25
D002771,O002771,Mumbai,Standard,3,4,104.31,Late,01-04-25
D002772,O002772,Mumbai,Express,5,6,157.21,Late,28-12-25
D002773,O002773,Hyderabad,Standard,5,3,255.25,On Time,19-10-25
D002774,O002774,Delhi NCR,Standard,5,3,171.85,On Time,21-01-24
D002775,O002775,Kolkata,Standard,7,4,137.67,On Time,23-12-25
D002776,O002776,Hyderabad,Express,5,6,156.16,Late,18-11-25
D002777,O002777,Delhi NCR,Standard,7,2,196.36,On Time,21-10-25
D002778,O002778,Bengaluru,Standard,5,5,125.35,On Time,18-08-25
D002779,O002779,Bengaluru,Standard,7,1,155.9,On Time,15-11-24
D002780,O002780,Hyderabad,Standard,5,2,129.86,On Time,16-09-25
D002781,O002781,Mumbai,Standard,7,1,208.64,On Time,13-05-25
D002782,O002782,Bengaluru,Express,5,7,71.9,Late,27-08-25
D002783,O002783,Delhi NCR,Standard,7,4,240.23,On Time,27-02-24
D002784,O002784,Bengaluru,Standard,5,6,202.96,Late,13-07-24
D002785,O002785,Bengaluru,Express,5,8,205.72,Late,09-08-25
D002786,O002786,Hyderabad,Standard,7,1,169.48,On Time,29-02-24
D002787,O002787,Bengaluru,Express,5,4,89.91,On Time,26-04-25
D002788,O002788,Delhi NCR,Standard,5,3,190.51,On Time,21-05-24
D002789,O002789,Delhi NCR,Standard,7,6,39.02,On Time,17-02-24
D002790,O002790,Delhi NCR,Standard,5,4,112.6,On Time,22-02-25
D002791,O002791,Kolkata,Standard,5,3,215.16,On Time,08-10-24
D002792,O002792,Mumbai,Standard,3,8,104.5,Late,05-03-24
D002793,O002793,Hyderabad,Standard,5,2,159.78,On Time,02-08-24
D002794,O002794,Delhi NCR,Standard,5,3,69.32,On Time,08-12-25
D002795,O002795,Delhi NCR,Standard,5,1,217.81,On Time,23-01-24
D002796,O002796,Delhi NCR,Standard,3,4,243.41,Late,04-05-24
D002797,O002797,Kolkata,Standard,5,4,80.38,On Time,18-02-24
D002798,O002798,Delhi NCR,Standard,3,4,160.36,Late,02-01-25
D002799,O002799,Delhi NCR,Express,3,5,58.27,Late,17-02-24
D002800,O002800,Bengaluru,Express,5,3,65.77,On Time,11-11-24
D002801,O002801,Mumbai,Standard,5,8,247.89,Late,11-08-24
D002802,O002802,Bengaluru,Standard,5,4,241.85,On Time,30-06-25
D002803,O002803,Mumbai,Standard,5,5,63.72,On Time,14-10-25
D002804,O002804,Mumbai,Standard,5,3,90.19,On Time,24-06-25
D002805,O002805,Bengaluru,Standard,7,7,222.74,On Time,06-07-24
D002806,O002806,Bengaluru,Standard,5,3,153.9,On Time,23-08-24
D002807,O002807,Hyderabad,Standard,5,3,53.03,On Time,09-01-25
D002808,O002808,Mumbai,Standard,7,7,64.88,On Time,12-09-24
D002809,O002809,Kolkata,Express,7,6,42.61,On Time,12-11-25
D002810,O002810,Delhi NCR,Standard,5,5,71.31,On Time,07-03-25
D002811,O002811,Hyderabad,Standard,5,4,136.42,On Time,03-10-24
D002812,O002812,Mumbai,Standard,5,3,40.64,On Time,09-05-25
D002813,O002813,Hyderabad,Standard,5,5,72.66,On Time,14-09-25
D002814,O002814,Mumbai,Express,5,6,136.6,Late,09-09-24
D002815,O002815,Delhi NCR,Standard,3,4,259.34,Late,01-07-25
D002816,O002816,Mumbai,Standard,3,3,226.6,On Time,27-12-25
D002817,O002817,Bengaluru,Standard,5,2,168.39,On Time,14-09-24
D002818,O002818,Kolkata,Standard,5,6,76.19,Late,07-06-25
D002819,O002819,Bengaluru,Standard,5,7,63.31,Late,13-09-25
D002820,O002820,Bengaluru,Standard,3,7,48.68,Late,30-09-24
D002821,O002821,Delhi NCR,Standard,3,9,279.83,Late,09-10-25
D002822,O002822,Bengaluru,Standard,3,4,95.83,Late,07-11-24
D002823,O002823,Kolkata,Standard,3,1,167.83,On Time,04-02-25
D002824,O002824,Bengaluru,Standard,7,6,270.97,On Time,10-01-24
D002825,O002825,Bengaluru,Standard,5,3,208.99,On Time,25-06-25
D002826,O002826,Mumbai,Express,5,9,198.22,Late,07-10-24
D002827,O002827,Kolkata,Standard,3,2,88.4,On Time,13-09-25
D002828,O002828,Hyderabad,Standard,5,2,85.54,On Time,19-03-24
D002829,O002829,Bengaluru,Standard,5,4,63.33,On Time,20-09-25
D002830,O002830,Hyderabad,Standard,5,3,157.56,On Time,19-04-25
D002831,O002831,Bengaluru,Standard,5,2,194.46,On Time,16-11-24
D002832,O002832,Delhi NCR,Standard,3,8,51.8,Late,03-01-25
D002833,O002833,Mumbai,Standard,5,3,88.57,On Time,05-09-25
D002834,O002834,Kolkata,Standard,5,6,262.75,Late,03-04-25
D002835,O002835,Bengaluru,Standard,5,3,266.55,On Time,29-09-25
D002836,O002836,Mumbai,Standard,5,6,249.87,Late,12-02-25
D002837,O002837,Bengaluru,Standard,7,7,144.44,On Time,20-03-24
D002838,O002838,Kolkata,Standard,5,5,183.22,On Time,07-01-24
D002839,O002839,Bengaluru,Standard,7,2,40.06,On Time,12-01-25
D002840,O002840,Hyderabad,Standard,5,3,99.84,On Time,16-07-24
D002841,O002841,Bengaluru,Standard,5,4,264.8,On Time,31-03-25
D002842,O002842,Kolkata,Standard,3,6,197.77,Late,18-12-24
D002843,O002843,Kolkata,Standard,7,1,86.71,On Time,28-05-25
D002844,O002844,Delhi NCR,Standard,5,4,99.56,On Time,14-09-24
D002845,O002845,Bengaluru,Standard,7,3,113.37,On Time,20-01-25
D002846,O002846,Delhi NCR,Standard,5,2,144.09,On Time,27-10-24
D002847,O002847,Bengaluru,Standard,5,6,194.35,Late,06-12-25
D002848,O002848,Delhi NCR,Standard,7,5,194.45,On Time,07-12-25
D002849,O002849,Bengaluru,Standard,5,4,207.15,On Time,05-09-25
D002850,O002850,Kolkata,Standard,3,1,213.69,On Time,14-04-25
D002851,O002851,Delhi NCR,Standard,5,5,116.41,On Time,06-10-24
D002852,O002852,Delhi NCR,Standard,7,4,140.51,On Time,28-12-24
D002853,O002853,Hyderabad,Standard,5,6,155.82,Late,24-12-24
D002854,O002854,Mumbai,Standard,7,8,100.42,Late,02-04-24
D002855,O002855,Kolkata,Standard,5,5,115.96,On Time,04-01-25
D002856,O002856,Mumbai,Standard,5,6,259.96,Late,15-02-24
D002857,O002857,Bengaluru,Standard,5,5,273.49,On Time,11-08-24
D002858,O002858,Hyderabad,Express,5,6,86.45,Late,03-08-25
D002859,O002859,Delhi NCR,Standard,3,1,247.51,On Time,18-12-24
D002860,O002860,Mumbai,Express,7,5,86.81,On Time,09-09-25
D002861,O002861,Delhi NCR,Standard,5,8,157.21,Late,17-07-25
D002862,O002862,Delhi NCR,Standard,5,6,147.47,Late,27-08-25
D002863,O002863,Mumbai,Express,7,3,145.92,On Time,01-02-24
D002864,O002864,Bengaluru,Standard,5,7,257.99,Late,26-06-25
D002865,O002865,Hyderabad,Standard,5,5,204.46,On Time,21-01-25
D002866,O002866,Hyderabad,Standard,5,9,253.67,Late,25-07-24
D002867,O002867,Mumbai,Standard,5,2,181.02,On Time,20-11-24
D002868,O002868,Delhi NCR,Standard,5,4,95.8,On Time,29-01-24
D002869,O002869,Bengaluru,Express,5,4,240.72,On Time,05-09-24
D002870,O002870,Delhi NCR,Standard,7,5,184.76,On Time,18-05-25
D002871,O002871,Hyderabad,Standard,3,6,210.11,Late,22-12-25
D002872,O002872,Hyderabad,Standard,7,8,100.19,Late,09-07-24
D002873,O002873,Kolkata,Standard,5,2,136.32,On Time,24-11-25
D002874,O002874,Hyderabad,Standard,7,7,259.61,On Time,13-02-25
D002875,O002875,Bengaluru,Express,5,7,60.29,Late,24-01-25
